"","Continent","Country","PlotID","Plot.Code","PlotViewID","Plot.Name","Plot.View.Name","PI","TreeID","Tag.No","Sub.Plot.T1","Sub.Plot.T2","Standardised.SubPlot.T1","X","Y","Standardised.X","Standardised.Y","AllometricRegionID","Family","Genus","Species","Sub.Species","Variety","Original.Identification","Recommended.Family","Recommended.Species","Recommended.Subspecies","Recommended.Variety","FamilyAPGID","GenusID","SpeciesID","SubSpeciesID","Census.No","Census.Date","Voucher.Code","Stem.Group.ID","Main.Stem.Tag","D0","D1","DPOMtMinus1","D2","D3","D4","POM0","POM","F1","F2","F3","F4","Extra.D0","Extra.D","Extra.DPOMtMinus1","Extra.D2","Extra.D3","Extra.D4","Extra.POM0","Extra.POM","Extra.F3","Extra.F4","CI","LI","CF","CD1","CD2","Height","F5","Height.Broken.At","Comments"
"1","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823139,"1686","I2NE3.2","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia ovata",NA,NA,"Myrceugenia ovata","Myrtaceae","Myrceugenia ovata",NA,NA,408,16890,423250,NA,1,2014.122,NA,0,"",13,13,NA,13,13,13,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1,NA,""
"2","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823139,"1686","I2NE3.2","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia ovata",NA,NA,"Myrceugenia ovata","Myrtaceae","Myrceugenia ovata",NA,NA,408,16890,423250,NA,2,2019.644,NA,0,"",12,12,NA,12,12,12,1300,1300,"a","1",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,2.1,1,NA,""
"3","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823134,"1682","I2NE2.4","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia mesomischa",NA,NA,"Myrceugenia mesomischa","Myrtaceae","Myrceugenia mesomischa",NA,NA,408,16890,423237,NA,1,2014.122,NA,0,"",23,23,NA,23,23,23,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,1,NA,""
"4","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823134,"1682","I2NE2.4","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia mesomischa",NA,NA,"Myrceugenia mesomischa","Myrtaceae","Myrceugenia mesomischa",NA,NA,408,16890,423237,NA,2,2019.644,NA,0,"",22,22,NA,22,22,22,1300,1300,"a","1",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.8,4,1,NA,""
"5","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823135,"1683","I2NE2.4","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia myrcioides",NA,NA,"Myrceugenia myrcioides","Myrtaceae","Myrceugenia myrcioides",NA,NA,408,16890,423244,NA,1,2014.122,NA,0,"",34,34,NA,34,34,34,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1,NA,""
"6","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823135,"1683","I2NE2.4","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia myrcioides",NA,NA,"Myrceugenia myrcioides","Myrtaceae","Myrceugenia myrcioides",NA,NA,408,16890,423244,NA,2,2019.644,NA,0,"",0,0,NA,0,0,0,0,0,"0","bps",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"7","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823116,"1665","I2SE6.4","SE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia myrcioides",NA,NA,"Myrceugenia myrcioides","Myrtaceae","Myrceugenia myrcioides",NA,NA,408,16890,423244,NA,1,2014.122,NA,0,"",15,15,NA,15,15,15,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1,NA,""
"8","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823116,"1665","I2SE6.4","SE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia myrcioides",NA,NA,"Myrceugenia myrcioides","Myrtaceae","Myrceugenia myrcioides",NA,NA,408,16890,423244,NA,2,2019.644,NA,0,"",15,15,NA,15,15,15,1300,1300,"a","1",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,2,1,NA,""
"9","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823125,"1674","I2NE2.2","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia cucullata",NA,NA,"Myrceugenia cucullata","Myrtaceae","Myrceugenia cucullata",NA,NA,408,16890,423200,NA,1,2014.122,NA,0,"",19,19,NA,19,19,19,1300,1300,"a","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,""
"10","South America","BRAZIL",9520,"PNA-02",11548,"Parna de Aparados da Serra area 2","Main Plot View","Sandra Cristina Müller",4823125,"1674","I2NE2.2","NE",NA,NA,NA,NA,NA,5,"Myrtaceae","Myrceugenia","Myrceugenia cucullata",NA,NA,"Myrceugenia cucullata","Myrtaceae","Myrceugenia cucullata",NA,NA,408,16890,423200,NA,2,2019.644,NA,0,"",21,21,NA,21,21,21,1300,1300,"a","1",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3.5,1,NA,""
