"","Continent","Country","PlotID","Plot.Code","PlotViewID","Plot.Name","Plot.View.Name","PI","TreeID","Tag.No","Sub.Plot.T1","Sub.Plot.T2","Standardised.SubPlot.T1","X","Y","Standardised.X","Standardised.Y","AllometricRegionID","Family","Genus","Species","Sub.Species","Variety","Original.Identification","Recommended.Family","Recommended.Species","Recommended.Subspecies","Recommended.Variety","FamilyAPGID","GenusID","SpeciesID","SubSpeciesID","Census.No","Census.Date","Voucher.Code","Stem.Group.ID","Main.Stem.Tag","D0","D1","DPOMtMinus1","D2","D3","D4","POM0","POM","F1","F2","F3","F4","Extra.D0","Extra.D","Extra.DPOMtMinus1","Extra.D2","Extra.D3","Extra.D4","Extra.POM0","Extra.POM","Extra.F3","Extra.F4","CI","LI","CF","CD1","CD2","Height","F5","Height.Broken.At","Comments"
"1","South America","BRAZIL",9513,"PRM-03",11533,"PELD pro-mata area 03","Main Plot View","Sandra Cristina Müller",4815523,"15872","P3NW0","NW",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.529,NA,NA,"",51,51,NA,51,51,51,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,4,NA,""
"2","South America","BRAZIL",9513,"PRM-03",11533,"PELD pro-mata area 03","Main Plot View","Sandra Cristina Müller",4815518,"15867","P3NW0","NW",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.529,NA,NA,"",86,86,NA,86,86,86,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,6.5,4,NA,""
"3","South America","BRAZIL",9513,"PRM-03",11533,"PELD pro-mata area 03","Main Plot View","Sandra Cristina Müller",4815519,"15868","P3NW0","NW",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.529,NA,NA,"",95,95,NA,95,95,95,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,6.5,4,NA,""
"4","South America","BRAZIL",9513,"PRM-03",11533,"PELD pro-mata area 03","Main Plot View","Sandra Cristina Müller",4815516,"1473","P3NW0","NW",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.529,NA,NA,"",53,53,NA,53,53,53,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"5","South America","BRAZIL",9513,"PRM-03",11533,"PELD pro-mata area 03","Main Plot View","Sandra Cristina Müller",4815514,"1462","P3NW0","NW",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.529,NA,NA,"",61,61,NA,61,61,61,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"6","South America","BRAZIL",9513,"PRM-03",11533,"PELD pro-mata area 03","Main Plot View","Sandra Cristina Müller",4815529,"15877","P3NW0","NW",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.529,NA,NA,"",76,76,NA,76,76,76,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,4,NA,""
"7","South America","BRAZIL",9513,"PRM-03",11533,"PELD pro-mata area 03","Main Plot View","Sandra Cristina Müller",4815530,"15878","P3NW0","NW",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.529,NA,NA,"",61,61,NA,61,61,61,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8,4,NA,""
"8","South America","BRAZIL",9513,"PRM-03",11533,"PELD pro-mata area 03","Main Plot View","Sandra Cristina Müller",4815531,"15879","P3NW0","NW",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.529,NA,NA,"",84,84,NA,84,84,84,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,8.5,4,NA,""
"9","South America","BRAZIL",9513,"PRM-03",11533,"PELD pro-mata area 03","Main Plot View","Sandra Cristina Müller",4815559,"16023","P3NW0","NW",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.529,NA,NA,"",73,73,NA,73,73,73,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,2.5,6,4,NA,""
"10","South America","BRAZIL",9518,"PRM-02",11544,"PELD pro-mata area 02","Main Plot View","Sandra Cristina Müller",4821251,"16640","P2SE0","SE",NA,NA,NA,NA,NA,5,"Thymelaeaceae","Daphnopsis","Daphnopsis fasciculata",NA,NA,"Daphnopsis fasciculata","Thymelaeaceae","Daphnopsis fasciculata",NA,NA,371,26132,157903,NA,3,2021.8095,NA,NA,"",59,59,NA,59,59,59,1300,1300,"an","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.5,6.5,4,NA,""
