Species;Higuchi;Iffsc;Leveg
Abarema;;0.55516483;
Abarema langsdorffii;;0.55516483;
Acca;0.631203034;0.611018508;
Acca sellowiana;0.631203034;0.611018508;
Achatocarpus;;0.536153726;
Achatocarpus praecox;;0.536153726;
Actinostemon;;0.434934442;0.66
Actinostemon concolor;;0.434934442;0.66
Aegiphila;;0.420040545;0.43
Aegiphila brachiata;;0.420040545;
Aegiphila integrifolia;;0.420040545;0.43
Aegiphila obducta;;0.420040545;
Agarista;;0.618979091;
Agarista eucalyptoides;;0.618979091;
Agarista niederleinii;;0.618979091;
Agonandra;;0.822;
Agonandra excelsa;;0.822;
Aiouea;;0.466206359;
Aiouea acarodomatifera;;0.466206359;
Aiouea hirsuta;;0.466206359;
Aiouea montana;;0.466206359;
Aiouea saligna;;0.466206359;
Albizia;;0.55516483;
Albizia edwallii;;0.55516483;
Albizia niopoides;;0.55516483;
Albizia polycephala;;0.55516483;
Alchornea;;0.419856287;0.467
Alchornea glandulosa;;0.419856287;
Alchornea sidifolia;;0.419856287;
Alchornea triplinervia;;0.419856287;0.467
Allophylus;0.552638287;0.55825684;0.651
Allophylus edulis;0.552638287;0.531408951;0.651
Allophylus guaraniticus;;0.55825684;
Allophylus petiolulatus;;0.585104729;
Allophylus puberulus;;0.55825684;
Aloysia;;0.445958083;
Aloysia gratissima;;0.445958083;
Aloysia virgata;;0.445958083;
Alseis;;0.47153937;
Alseis floribunda;;0.47153937;
Amaioua;;0.650941743;
Amaioua guianensis;;0.650941743;
Andira;;0.708100751;
Andira fraxinifolia;;0.708100751;
Aniba;;0.466206359;
Aniba firmula;;0.466206359;
Annona;0.375877578;0.40010631;0.47
Annona cacans;;0.412969596;
Annona dolabripetala;;0.40010631;
Annona emarginata;;0.419851489;
Annona mucosa;;0.40010631;
Annona neosalicifolia;;0.40010631;
Annona neosericea;;0.367497844;0.47
Annona rugulosa;0.375877578;0.40010631;
Annona sylvatica;;0.40010631;
Aparisthmium;;0.434934442;
Aparisthmium cordatum;;0.434934442;
Apuleia;;0.645908484;0.799225
Apuleia leiocarpa;;0.645908484;0.799225
Aralia;;0.428999615;
Aralia warmingiana;;0.428999615;
Araucaria;0.531985319;0.48;0.48
Araucaria angustifolia;0.531985319;0.48;0.48
Aspidosperma;;0.759861603;0.72
Aspidosperma australe;;0.7404;0.72
Aspidosperma olivaceum;;0.747806163;
Aspidosperma parvifolium;;0.781101853;
Aspidosperma ramiflorum;;0.71;
Aspidosperma tomentosum;;0.82;
Ateleia;;0.50892958;0.65
Ateleia glazioveana;;0.50892958;0.65
Aureliana;;0.453452943;
Aureliana fasciculata;;0.453452943;
Azara;;0.654579803;
Azara uruguayensis;;0.654579803;
Baccharis;0.649045068;0.52642484;
